header,title,title_url,channel_name,channel_url,timestamp,products,activity_controls,video_id,duration_seconds,topic_categories
YouTube,Watched Taylor Swift and Travis Kelce partying in the suite after chiefs vs broncos game...,https://www.youtube.com/watch?v=Gp4KQ0yEzoo,Swiftly Explained,https://www.youtube.com/channel/UCKTZ2MmK0_9hZVBhiuVp_xw,2024-11-17 21:43:04.210000+00:00,YouTube,YouTube watch history,Gp4KQ0yEzoo,10.0,"['American football', 'Sport']"
YouTube,Watched That RARE Moment ERNIE Johnson SNAPPED,https://www.youtube.com/watch?v=beq305XH714,HoopLists,https://www.youtube.com/channel/UCZBaWSQCEd3mbFHggUim0aA,2024-11-17 21:42:55.602000+00:00,YouTube,YouTube watch history,beq305XH714,60.0,"['Basketball', 'Sport', 'Television program']"
YouTube,Watched 12 Min Full Body Fat Burn Cardio Workout (No Jumping HIIT),https://www.youtube.com/watch?v=IY3dD2vQYtw,Action Jacquelyn,https://www.youtube.com/channel/UCezEzIGp34wPBrmvIshdj5A,2024-11-15 13:38:03.575000+00:00,YouTube,YouTube watch history,IY3dD2vQYtw,742.0,"['Health', 'Lifestyle (sociology)', 'Physical fitness']"
YouTube,"Watched 20 Min Full Body Gentle Barre Workout, No Equipment",https://www.youtube.com/watch?v=zibBK8tvaaE,Action Jacquelyn,https://www.youtube.com/channel/UCezEzIGp34wPBrmvIshdj5A,2024-11-15 13:37:24.315000+00:00,YouTube,YouTube watch history,zibBK8tvaaE,1206.0,"['Health', 'Lifestyle (sociology)', 'Physical fitness']"
YouTube,"Watched Forget the Draymond Green Show, we Want More of These Two!",https://www.youtube.com/watch?v=zjanzaY2jtM,heavy,https://www.youtube.com/channel/UCDH6W-YM39hL0_vgeB3EDsA,2024-11-14 21:21:43.623000+00:00,YouTube,YouTube watch history,zjanzaY2jtM,59.0,"['Baseball', 'Basketball', 'Sport']"
YouTube,Watched We Spread Misinformation With Aaron Rodgers And Need To Make It Right... | Pat McAfee Show,https://www.youtube.com/watch?v=2Adm1wWJHwI,The Pat McAfee Show,https://www.youtube.com/channel/UCxcTeAKWJca6XyJ37_ZoKIQ,2024-11-14 20:56:16.910000+00:00,YouTube,YouTube watch history,2Adm1wWJHwI,265.0,"['American football', 'Association football', 'Sport', 'Television program']"
YouTube,Watched This moment ❤️,https://www.youtube.com/watch?v=8IlTIzwBjhU,ESPN MLB,https://www.youtube.com/channel/UCvHm-lDQEhRJNCd8BdpzDkQ,2024-11-14 20:56:01.710000+00:00,YouTube,YouTube watch history,8IlTIzwBjhU,24.0,"['Baseball', 'Sport']"
YouTube,Watched When Taylor Swift's Heart Dropped during an interview after the person guessed her next album title,https://www.youtube.com/watch?v=E2A0u99dGFY,Swiftly Explained,https://www.youtube.com/channel/UCKTZ2MmK0_9hZVBhiuVp_xw,2024-11-14 20:55:29.163000+00:00,YouTube,YouTube watch history,E2A0u99dGFY,30.0,['Entertainment']
YouTube,Watched https://www.youtube.com/watch?v=C4V_9H8Sgtg,https://www.youtube.com/watch?v=C4V_9H8Sgtg,,,2024-11-14 20:55:24.187000+00:00,YouTube,YouTube watch history,C4V_9H8Sgtg,,
YouTube,"Watched 20 Min Full Body Gentle Barre Workout, No Equipment",https://www.youtube.com/watch?v=zibBK8tvaaE,Action Jacquelyn,https://www.youtube.com/channel/UCezEzIGp34wPBrmvIshdj5A,2024-11-14 17:38:23.383000+00:00,YouTube,YouTube watch history,zibBK8tvaaE,1206.0,"['Health', 'Lifestyle (sociology)', 'Physical fitness']"
YouTube,Watched CBC News: The National | Trump and Biden meet at the White House,https://www.youtube.com/watch?v=IVcHBmeNth8,CBC News: The National,https://www.youtube.com/channel/UCKjU3KzdbJE1EFcHVqXC3_g,2024-11-14 17:36:34.537000+00:00,YouTube,YouTube watch history,IVcHBmeNth8,2721.0,"['Politics', 'Society', 'Television program']"
YouTube,Watched Life lesson 🙏,https://www.youtube.com/watch?v=Y_7PD1XeTTc,Best Cuts,https://www.youtube.com/channel/UCMcP92IXXqZxQiu0S4g7cqg,2024-11-14 16:36:33.944000+00:00,YouTube,YouTube watch history,Y_7PD1XeTTc,61.0,[]
YouTube,Watched CeeDee Lamb wants curtains at AT&T stadium to block sun #shorts,https://www.youtube.com/watch?v=E772w6gUAe4,NFL on CBS,https://www.youtube.com/channel/UC7ZUfHFsuQcW7BkTHnXJtqw,2024-11-14 16:36:11.224000+00:00,YouTube,YouTube watch history,E772w6gUAe4,18.0,"['American football', 'Sport']"
YouTube,Watched Elon’s Joke on Why Japanese Car Companies Beat American Ones,https://www.youtube.com/watch?v=zOQVB0zYsEI,Rogan Recut,https://www.youtube.com/channel/UCkJz0IjpFA9IYA6wUPyAQIA,2024-11-14 16:36:09.666000+00:00,YouTube,YouTube watch history,zOQVB0zYsEI,29.0,['Society']
YouTube,Watched Uncle Eli had to take a little credit for Arch's ball flip and dime 😅🎯 #Shorts,https://www.youtube.com/watch?v=2WMwlxu5Vr8,ESPN,https://www.youtube.com/channel/UCiWLfSweyRNmLpgEHekhoAg,2024-11-14 16:36:07.086000+00:00,YouTube,YouTube watch history,2WMwlxu5Vr8,12.0,"['Basketball', 'Sport']"
YouTube,Watched Hahahahah 💀😂,https://www.youtube.com/watch?v=uXbIuOImCmM,CXLEB,https://www.youtube.com/channel/UCCHodVjh378eTjqlZ_bkTbQ,2024-11-14 16:36:04.345000+00:00,YouTube,YouTube watch history,uXbIuOImCmM,27.0,['Entertainment']
YouTube,Watched This is remarkable flexibility 👏,https://www.youtube.com/watch?v=JH7ePcPoWW4,ESPN MLB,https://www.youtube.com/channel/UCvHm-lDQEhRJNCd8BdpzDkQ,2024-11-14 16:36:02.465000+00:00,YouTube,YouTube watch history,JH7ePcPoWW4,16.0,"['Baseball', 'Sport', 'Sports game']"
YouTube,Watched Akaash Singh Predicted Dems Loss to Trump,https://www.youtube.com/watch?v=D7krJ8ptBzk,Akaash Singh,https://www.youtube.com/channel/UCdFGdIh0CZa_oF8MJAowsEw,2024-11-14 16:36:00.547000+00:00,YouTube,YouTube watch history,D7krJ8ptBzk,59.0,"['Politics', 'Society']"
YouTube,Watched LeBron left Klay open to Guard Steph 😂 #shorts,https://www.youtube.com/watch?v=9DPr0W5mjyM,House of Highlights,https://www.youtube.com/channel/UCqQo7ewe87aYAe7ub5UqXMw,2024-11-14 16:35:49.084000+00:00,YouTube,YouTube watch history,9DPr0W5mjyM,7.0,"['Basketball', 'Sport']"
YouTube,Watched My old highschool asked me to do flips at the game!,https://www.youtube.com/watch?v=5nqxmDCLhLo,Britt Hertz Shorts,https://www.youtube.com/channel/UCmZwn61P-KkS4WARx8UL_QA,2024-11-14 16:35:44.214000+00:00,YouTube,YouTube watch history,5nqxmDCLhLo,10.0,"['Physical fitness', 'Sport']"
YouTube,Watched #funny #prank,https://www.youtube.com/watch?v=AcLEBRCJN2A,Tate IBINGUE,https://www.youtube.com/channel/UCrWb3HFqXR_TCwqwGzjb90A,2024-11-14 16:35:42.432000+00:00,YouTube,YouTube watch history,AcLEBRCJN2A,60.0,"['Entertainment', 'Film', 'Humour']"
YouTube,Watched TRUMP: “Happy Birthday Kamala” birthday wishes on her 60th birthday,https://www.youtube.com/watch?v=4S1o_jufo9c,LiveNOW from FOX,https://www.youtube.com/channel/UCJg9wBPyKMNA5sRDnvzmkdg,2024-11-14 16:35:40.830000+00:00,YouTube,YouTube watch history,4S1o_jufo9c,29.0,"['Politics', 'Society']"
YouTube,Watched Lamborghini vs. Cybertruck🔥 #car #lamborghini #shortsvideo #shortvideo #shorts #tesla #cybertruck,https://www.youtube.com/watch?v=hME4c7RVoMc,CCJ Media,https://www.youtube.com/channel/UCCqnvg8KJ64USAMHJTSVC9g,2024-11-14 16:35:38.494000+00:00,YouTube,YouTube watch history,hME4c7RVoMc,29.0,"['Lifestyle (sociology)', 'Motorsport', 'Vehicle']"
YouTube,Watched Micah Voted Fans' Favorite Pundit on CBS #football #shorts #shortsviral #soccer #premierleague,https://www.youtube.com/watch?v=z8GZz6giJak,90% FOOTBALL,https://www.youtube.com/channel/UCKrJTurFN-i69pQjExEIdjQ,2024-11-14 16:34:47.306000+00:00,YouTube,YouTube watch history,z8GZz6giJak,59.0,"['Association football', 'Sport', 'Television program']"
YouTube,Watched Cornell student rescues man from NYC subway tracks seconds before train arrives,https://www.youtube.com/watch?v=06OLEi9v_Gw,Washington Square News,https://www.youtube.com/channel/UCIUwVN-sqswgkJdb-Wfh4Iw,2024-11-14 16:34:44.686000+00:00,YouTube,YouTube watch history,06OLEi9v_Gw,18.0,[]
YouTube,Watched Imagine being the only fan at a match 😂,https://www.youtube.com/watch?v=IiB5J4zna7Q,CBS Sports Golazo,https://www.youtube.com/channel/UCET00YnetHT7tOpu12v8jxg,2024-11-14 16:34:43.166000+00:00,YouTube,YouTube watch history,IiB5J4zna7Q,58.0,"['Association football', 'Sport']"
YouTube,Watched These cars did NOT want to stop 😂 #funny #shorts #shortsfeed #protest #funnyshorts #fails #cars,https://www.youtube.com/watch?v=yboSoqsamdQ,Doza Vlogs,https://www.youtube.com/channel/UCCxo6lu5ejRDOKJaUlF4RFg,2024-11-14 16:34:40.989000+00:00,YouTube,YouTube watch history,yboSoqsamdQ,57.0,['Vehicle']
